field,motif,features,auc
cosmos,void,ring_mean,0.8900584795321638
cosmos,void,ring_mean_std,0.8865497076023392
cosmos,void,ring_mean_gradient,0.9052631578947368
cosmos,void,four_sides,0.847953216374269
cosmos,void,full8,0.8818713450292397
cosmos,overdense,ring_mean,0.750877192982456
cosmos,overdense,ring_mean_std,0.7497076023391813
cosmos,overdense,ring_mean_gradient,0.752046783625731
cosmos,overdense,four_sides,0.7298245614035088
cosmos,overdense,full8,0.7286549707602339
cosmos,peak,ring_mean,0.7005847953216374
cosmos,peak,ring_mean_std,0.5824561403508772
cosmos,peak,ring_mean_gradient,0.6678362573099415
cosmos,peak,four_sides,0.5684210526315789
cosmos,peak,full8,0.5228070175438597
xmm_lss,void,ring_mean,0.7370095440084835
xmm_lss,void,ring_mean_std,0.7401908801696713
xmm_lss,void,ring_mean_gradient,0.7264050901378578
xmm_lss,void,four_sides,0.7158006362672322
xmm_lss,void,full8,0.7242841993637328
xmm_lss,overdense,ring_mean,0.7409261576971213
xmm_lss,overdense,ring_mean_std,0.7434292866082602
xmm_lss,overdense,ring_mean_gradient,0.7409261576971213
xmm_lss,overdense,four_sides,0.7046307884856069
xmm_lss,overdense,full8,0.718397997496871
xmm_lss,peak,ring_mean,0.6068181818181817
xmm_lss,peak,ring_mean_std,0.6465909090909091
xmm_lss,peak,ring_mean_gradient,0.5897727272727273
xmm_lss,peak,four_sides,0.5931818181818183
xmm_lss,peak,full8,0.6363636363636362
cdfs,void,ring_mean,0.7420814479638009
cdfs,void,ring_mean_std,0.7420814479638009
cdfs,void,ring_mean_gradient,0.7285067873303167
cdfs,void,four_sides,0.6862745098039216
cdfs,void,full8,0.7058823529411765
cdfs,overdense,ring_mean,0.7414285714285714
cdfs,overdense,ring_mean_std,0.7357142857142858
cdfs,overdense,ring_mean_gradient,0.7271428571428571
cdfs,overdense,four_sides,0.7657142857142858
cdfs,overdense,full8,0.7328571428571429
cdfs,peak,ring_mean,0.6152046783625731
cdfs,peak,ring_mean_std,0.656140350877193
cdfs,peak,ring_mean_gradient,0.5906432748538011
cdfs,peak,four_sides,0.5953216374269006
cdfs,peak,full8,0.6502923976608187
elais_s1,void,ring_mean,0.8822055137844611
elais_s1,void,ring_mean_std,0.8847117794486214
elais_s1,void,ring_mean_gradient,0.8822055137844611
elais_s1,void,four_sides,0.7894736842105263
elais_s1,void,full8,0.862155388471178
elais_s1,overdense,ring_mean,0.6608260325406758
elais_s1,overdense,ring_mean_std,0.6545682102628285
elais_s1,overdense,ring_mean_gradient,0.6583229036295368
elais_s1,overdense,four_sides,0.6107634543178974
elais_s1,overdense,full8,0.6395494367959951
elais_s1,peak,ring_mean,0.7833333333333334
elais_s1,peak,ring_mean_std,0.7291666666666667
elais_s1,peak,ring_mean_gradient,0.7791666666666666
elais_s1,peak,four_sides,0.7999999999999999
elais_s1,peak,full8,0.7666666666666667
south_045m30,void,ring_mean,0.6393442622950819
south_045m30,void,ring_mean_std,0.6448087431693988
south_045m30,void,ring_mean_gradient,0.6284153005464481
south_045m30,void,four_sides,0.6229508196721312
south_045m30,void,full8,0.6338797814207651
south_045m30,overdense,ring_mean,0.6123076923076922
south_045m30,overdense,ring_mean_std,0.6194871794871795
south_045m30,overdense,ring_mean_gradient,0.6123076923076923
south_045m30,overdense,four_sides,0.5466666666666666
south_045m30,overdense,full8,0.5723076923076923
south_045m30,peak,ring_mean,0.5057471264367817
south_045m30,peak,ring_mean_std,0.5459770114942528
south_045m30,peak,ring_mean_gradient,0.5028735632183908
south_045m30,peak,four_sides,0.4913793103448276
south_045m30,peak,full8,0.5258620689655172
south_075m45,void,ring_mean,0.5849056603773586
south_075m45,void,ring_mean_std,0.5883361921097771
south_075m45,void,ring_mean_gradient,0.5951972555746141
south_075m45,void,four_sides,0.6415094339622642
south_075m45,void,full8,0.6037735849056604
south_075m45,overdense,ring_mean,0.6581280788177342
south_075m45,overdense,ring_mean_std,0.658128078817734
south_075m45,overdense,ring_mean_gradient,0.6600985221674878
south_075m45,overdense,four_sides,0.6660098522167488
south_075m45,overdense,full8,0.6571428571428571
south_075m45,peak,ring_mean,0.6245614035087719
south_075m45,peak,ring_mean_std,0.6514619883040934
south_075m45,peak,ring_mean_gradient,0.6046783625730994
south_075m45,peak,four_sides,0.6269005847953217
south_075m45,peak,full8,0.647953216374269
south_105m35,void,ring_mean,0.6775510204081632
south_105m35,void,ring_mean_std,0.6789115646258503
south_105m35,void,ring_mean_gradient,0.672108843537415
