field,real_median_cosine,real_mean_cosine,matched_shift_median_cosine,matched_shift_mean_cosine,real_positive_fraction,matched_shift_positive_fraction
cosmos,0.32526212365966994,0.25215433496628326,-0.2632142343187829,-0.06794100308862032,0.640625,0.4375
xmm_lss,0.42462627340692766,0.2652566307157339,0.03359172779215108,0.024224579750022283,0.671875,0.515625
cdfs,0.22528022275703613,0.08055797122308499,-0.1985583699081488,-0.08496361200317801,0.59375,0.4375
elais_s1,0.3174990918116533,0.17960123779622345,-0.16353243840162457,-0.05613276483846903,0.609375,0.453125
south_045m30,0.35568433423422785,0.19733918327361438,-0.2875991128447911,-0.10339593944766776,0.640625,0.4375
south_075m45,0.25349432943325245,0.19019213297439486,-0.0437249565356683,-0.04850715273278529,0.671875,0.46875
south_105m35,0.0668729996338945,0.11001537792369258,-0.2863575614395549,-0.16909330694289704,0.515625,0.40625
south_135m25,0.30798233299265354,0.21161864570926336,-0.11934238141700168,-0.0662983162514868,0.65625,0.46875
south_210m35,-0.20515765093656455,-0.07976321191839872,-0.10851627656741569,-0.05418032988627102,0.484375,0.453125
des_315m45,0.3367721453418435,0.182927524649417,-0.024435725819679184,-0.0024578038624275267,0.640625,0.453125
south_330m45,0.05675551727587058,0.1080188585814707,0.19478473294635756,0.046980390845376654,0.53125,0.5625
south_345m30,0.6017411425259944,0.27372408189353137,0.12476879307765999,0.07614473523825735,0.609375,0.546875
