mask,method,metric,real_median,matched_shift_median,positive_fields,mean_paired_advantage,exact_one_sided_signflip_p
center25,mean,corr,0.006359731656680084,0.006359731656680084,0,0.0,1.0
center25,mean,mse,1.0175951542777322,1.0175951542777322,0,0.0,1.0
center25,gaussian,corr,0.121032637953406,-0.006126509039965026,12,0.1352009446080972,0.000244140625
center25,gaussian,mse,1.0526188045688376,1.1012962867452596,11,0.05311504231882309,0.000732421875
center25,pca,corr,0.05870773768014656,-0.007078491048850883,10,0.07810331583426834,0.0009765625
center25,pca,mse,1.450649353327434,1.5776186987448861,12,0.14912938594452188,0.000244140625
center25,knn20,corr,0.0741410144283588,0.0038887165086024383,11,0.07036498369944162,0.000732421875
center25,knn20,mse,1.0306497857987957,1.073261880828904,9,0.029918467783725634,0.00537109375
corner25,mean,corr,-0.009665250879530705,-0.009665250879530705,0,0.0,1.0
corner25,mean,mse,1.0222670376962342,1.0222670376962342,0,0.0,1.0
corner25,gaussian,corr,0.11709018082563474,-0.0038247572608593617,12,0.1288559268669981,0.000244140625
corner25,gaussian,mse,1.0313833184914598,1.1003589757247048,10,0.05360072542095315,0.0009765625
corner25,pca,corr,0.05976879386808229,-0.0057965907167442845,10,0.05989107096650447,0.0068359375
corner25,pca,mse,1.482146587632966,1.6470183562728602,10,0.09000944292836861,0.00439453125
corner25,knn20,corr,0.06427201204690076,-0.013961991002312997,10,0.08162683679202729,0.001220703125
corner25,knn20,mse,1.0290188310686257,1.079453880037264,10,0.03606108036440284,0.002197265625
stripe25,mean,corr,-0.02769793781918862,-0.02769793781918862,0,0.0,1.0
stripe25,mean,mse,1.031148289045417,1.031148289045417,0,0.0,1.0
stripe25,gaussian,corr,0.12119990271919248,0.010324851376907338,12,0.12874525831573308,0.000244140625
stripe25,gaussian,mse,1.008199057663374,1.0705329061123305,11,0.050800790926641165,0.00146484375
stripe25,pca,corr,0.09107798675608143,0.014981369518543484,11,0.08253873718120776,0.000732421875
stripe25,pca,mse,1.3486072056839045,1.5255434891361046,12,0.18940359782233698,0.000244140625
stripe25,knn20,corr,0.09247919624414527,0.004784562333806451,12,0.09250772038361792,0.000244140625
stripe25,knn20,mse,1.0250542305786323,1.0633859338428908,11,0.03726326588398037,0.0009765625
random25,mean,corr,-0.006392119935577651,-0.006392119935577651,0,0.0,1.0
random25,mean,mse,1.007610888942522,1.007610888942522,0,0.0,1.0
random25,gaussian,corr,0.12165478143290502,0.008074461795261147,12,0.1359721672038673,0.000244140625
random25,gaussian,mse,1.007342412760746,1.0694795013061478,11,0.05614850308704686,0.00048828125
random25,pca,corr,0.09600665220034856,0.0034694424454169382,11,0.09275092904123759,0.00048828125
random25,pca,mse,1.3505558368702055,1.5344120897819353,12,0.22192050582171188,0.000244140625
random25,knn20,corr,0.0950980839322976,0.00461870887951164,12,0.08816405310900384,0.000244140625
random25,knn20,mse,1.0361762929219145,1.0577432947326286,12,0.03215611065252244,0.000244140625
