mask,field,sample,method,hidden_fraction,mse,corr
center25,cosmos,real,mean,0.25,0.9956931102966684,-0.06403116637242039
center25,cosmos,real,gaussian,0.25,0.9584582436963628,0.21446208174664136
center25,cosmos,real,pca,0.25,1.285123779330968,0.1236263399503463
center25,cosmos,real,knn20,0.25,0.9861282492875948,0.14104314857272146
center25,cosmos,matched_shift,mean,0.25,0.9956931102966684,-0.06403116637242039
center25,cosmos,matched_shift,gaussian,0.25,1.0416922851478863,0.02145832215583099
center25,cosmos,matched_shift,pca,0.25,1.5107862540426797,-0.009022203008288886
center25,cosmos,matched_shift,knn20,0.25,1.0486870773226862,-0.01764726660893096
center25,xmm_lss,real,mean,0.25,1.266492388275835,-0.020212964637033943
center25,xmm_lss,real,gaussian,0.25,1.2556891176073357,0.18284451273987554
center25,xmm_lss,real,pca,0.25,1.784692596839121,0.09403944882738059
center25,xmm_lss,real,knn20,0.25,1.2583865072730525,0.13127501309228848
center25,xmm_lss,matched_shift,mean,0.25,1.266492388275835,-0.020212964637033943
center25,xmm_lss,matched_shift,gaussian,0.25,1.3319483785344644,0.02572647376662232
center25,xmm_lss,matched_shift,pca,0.25,2.0457445458701664,-0.03282935793330985
center25,xmm_lss,matched_shift,knn20,0.25,1.2942516938205686,0.032559065367190325
center25,cdfs,real,mean,0.25,1.1133290022195586,-0.018461561902451053
center25,cdfs,real,gaussian,0.25,1.1528855109957636,0.09837293060701431
center25,cdfs,real,pca,0.25,1.5789613538143872,0.05606357124206174
center25,cdfs,real,knn20,0.25,1.1371550554809307,0.0628591942554754
center25,cdfs,matched_shift,mean,0.25,1.1133290022195586,-0.018461561902451053
center25,cdfs,matched_shift,gaussian,0.25,1.179996817716384,0.0033226360174196563
center25,cdfs,matched_shift,pca,0.25,1.6946757125515797,0.010703659492351096
center25,cdfs,matched_shift,knn20,0.25,1.1574593938697237,0.0008946891177017416
center25,elais_s1,real,mean,0.25,0.7833526846251855,0.03889703762519853
center25,elais_s1,real,gaussian,0.25,0.7793332128117112,0.13890198241315102
center25,elais_s1,real,pca,0.25,1.0807716407117323,0.05810456837112542
center25,elais_s1,real,knn20,0.25,0.7913022202916831,0.07190069916464238
center25,elais_s1,matched_shift,mean,0.25,0.7833526846251855,0.03889703762519853
center25,elais_s1,matched_shift,gaussian,0.25,0.8500523090567054,-0.05879165214682948
center25,elais_s1,matched_shift,pca,0.25,1.2326126447465728,-0.0386912132344124
center25,elais_s1,matched_shift,knn20,0.25,0.8185756532612845,0.02319434965949135
center25,south_045m30,real,mean,0.25,0.7820584015022947,0.010410938942531051
center25,south_045m30,real,gaussian,0.25,0.7884113868485454,0.06567401462446901
center25,south_045m30,real,pca,0.25,1.1008208575355287,0.027796333683847093
center25,south_045m30,real,knn20,0.25,0.7853336984165599,0.028924187901205805
center25,south_045m30,matched_shift,mean,0.25,0.7820584015022947,0.010410938942531051
center25,south_045m30,matched_shift,gaussian,0.25,0.8135518075328718,0.0348739973961019
center25,south_045m30,matched_shift,pca,0.25,1.1522129308760547,0.03909391814734985
center25,south_045m30,matched_shift,knn20,0.25,0.8374762084600176,-0.0003270317538432942
center25,south_075m45,real,mean,0.25,1.1656575174169381,0.045392980328272055
center25,south_075m45,real,gaussian,0.25,1.2008434884725943,0.0746838261603822
center25,south_075m45,real,pca,0.25,1.691504534095055,0.05931090698916656
center25,south_075m45,real,knn20,0.25,1.1542921661159107,0.08876258044851418
center25,south_075m45,matched_shift,mean,0.25,1.1656575174169381,0.045392980328272055
center25,south_075m45,matched_shift,gaussian,0.25,1.2275065405063539,0.013824872013814656
center25,south_075m45,matched_shift,pca,0.25,1.8211743323746958,0.011619184151614722
center25,south_075m45,matched_shift,knn20,0.25,1.221721399160543,-0.029799807913855714
center25,south_105m35,real,mean,0.25,1.0394971982587906,-0.0005990272722502278
center25,south_105m35,real,gaussian,0.25,1.0635913498704408,0.1242259702136741
center25,south_105m35,real,pca,0.25,1.4840249971907438,0.08305377754684524
center25,south_105m35,real,knn20,0.25,1.0461942288092587,0.09078699797957293
center25,south_105m35,matched_shift,mean,0.25,1.0394971982587906,-0.0005990272722502278
center25,south_105m35,matched_shift,gaussian,0.25,1.1609002883426274,-0.07634952888860766
center25,south_105m35,matched_shift,pca,0.25,1.8050523193736634,-0.09236832038902618
center25,south_105m35,matched_shift,knn20,0.25,1.0978366843351166,-0.01667648173026174
center25,south_135m25,real,mean,0.25,0.987096068464954,-0.0014207802669145965
center25,south_135m25,real,gaussian,0.25,1.0536211254681405,0.04963288489592607
center25,south_135m25,real,pca,0.25,1.4765350742146937,0.026861814089931133
center25,south_135m25,real,knn20,0.25,1.0151053427883312,0.07638132969207509
center25,south_135m25,matched_shift,mean,0.25,0.987096068464954,-0.0014207802669145965
