field,patch_y,patch_x,z1,z2,gmm3
south_210m35,0,0,0.374225259072149,1.482054746852844,2
south_210m35,0,1,-1.3087164845585406,-0.8301251592067616,0
south_210m35,0,2,-2.7423151939672477,1.6117269342610472,0
south_210m35,0,3,-0.6710308450233204,0.6662171848429903,0
south_210m35,0,4,-0.7106872208491722,1.9635967535849426,2
south_210m35,0,5,0.9166113397357296,0.2484729013165723,2
south_210m35,0,6,-1.970872104390934,0.7584688683327689,0
south_210m35,0,7,-1.1855039479059206,1.2710630804841527,2
south_210m35,1,0,1.5442905955294857,-0.6911143483209817,1
south_210m35,1,1,0.5510983486986543,0.5501023313661799,2
south_210m35,1,2,-0.13008269236018477,-0.6742343487134311,0
south_210m35,1,3,-1.2696512060247798,1.045585086244059,0
south_210m35,1,4,2.088390302436966,2.1424708825350507,2
south_210m35,1,5,0.6741421576193187,-0.9573391960730472,0
south_210m35,1,6,-0.40480018591501354,-0.26246523119887194,0
south_210m35,1,7,-2.259940777273209,-0.01637985000040626,0
south_210m35,2,0,0.7432033318550391,-0.796290406614354,0
south_210m35,2,1,2.1076816665342095,-1.149344972961695,1
south_210m35,2,2,-1.1043759365649364,0.6321687450548845,0
south_210m35,2,3,-0.6415646966814268,-3.0527726800938857,1
south_210m35,2,4,-0.26348800379491566,-0.9622656187553776,0
south_210m35,2,5,-1.9851616660376112,0.4589860641521659,0
south_210m35,2,6,-2.0078521919093113,-0.8841006510196736,0
south_210m35,2,7,-2.265232565438854,-1.0377105491915806,0
south_210m35,3,0,3.789861318994511,-1.5660622269276736,1
south_210m35,3,1,2.8406413084576942,-1.948937950950688,1
south_210m35,3,2,2.039747160011675,0.8641010386618438,2
south_210m35,3,3,0.9398768525076937,0.7524423959287851,2
south_210m35,3,4,1.8488604569798819,1.518518318219549,2
south_210m35,3,5,-1.4049788744758511,1.647692671542941,2
south_210m35,3,6,2.9385109767827977,-0.4085952999255098,1
south_210m35,3,7,3.928875242475833,-0.4661326923906154,1
south_210m35,4,0,2.4679766813771895,0.6057397766138073,1
south_210m35,4,1,4.82174602893007,0.1511659789724158,1
south_210m35,4,2,0.9373480388832949,1.2677811870807112,2
south_210m35,4,3,3.6733154563373605,0.7017950907529171,1
south_210m35,4,4,3.190183119201067,-0.41767726193206445,1
south_210m35,4,5,-0.7427311233368414,1.1531093364113145,2
south_210m35,4,6,-0.39365423091301366,2.8334330005960355,2
south_210m35,4,7,-0.8763564952674138,3.3347888465730287,2
south_210m35,5,0,1.0342556683937083,-1.829317919668399,1
south_210m35,5,1,1.0072457464695441,-0.40046118947528186,2
south_210m35,5,2,2.2917426396273157,1.4236591352362882,2
south_210m35,5,3,3.2408625082668183,2.4897001357466224,2
south_210m35,5,4,2.6400368324860928,1.184899525626005,2
south_210m35,5,5,4.295788939839074,-0.15614961070149036,1
south_210m35,5,6,2.2843137533636577,-2.524064825068227,1
south_210m35,5,7,2.3317609079692234,0.37668668038558756,1
south_210m35,6,0,1.2613637060808784,-0.4638363449304278,1
south_210m35,6,1,0.9539445310249706,0.9663837032166119,2
south_210m35,6,2,0.8091703454069273,-1.5294413851700193,0
south_210m35,6,3,0.5416617681034622,1.1664618459720877,2
south_210m35,6,4,2.6294261264410883,0.43669740286725645,1
south_210m35,6,5,0.7549201109416197,-0.27217826018655955,2
south_210m35,6,6,2.43472536919553,1.154921529423959,2
south_210m35,6,7,1.6429483990816505,-1.601869862746116,1
south_210m35,7,0,1.9664437382735018,-0.6737717810261359,1
south_210m35,7,1,0.9433329867830643,0.04068284986221338,2
south_210m35,7,2,2.3241821090225914,1.173770828839723,2
south_210m35,7,3,3.1513529781817278,-0.7783738121548045,1
south_210m35,7,4,0.9434342732500615,0.7528751213464674,2
south_210m35,7,5,-2.9890954348768264,0.743938940219437,0
south_210m35,7,6,1.8795144429966286,0.08078145935398376,1
south_210m35,7,7,0.85527940846182,1.3671073036160517,2
des_315m45,0,0,2.5961004408855564,1.242812586644709,2
des_315m45,0,1,0.5818405930151174,0.9715041619938707,2
des_315m45,0,2,-1.0419878361671115,0.5529217379558017,0
des_315m45,0,3,0.703226173369425,-0.5616423299362463,0
des_315m45,0,4,2.928756201759633,1.4604818183878283,1
des_315m45,0,5,3.30636726232178,-1.4482547533044958,1
des_315m45,0,6,3.4469940652511157,2.517501344994237,2
des_315m45,0,7,3.219464357603737,1.0719894640593397,1
des_315m45,1,0,0.6847090617850726,0.10703092433472716,2
des_315m45,1,1,-0.13726503474016105,-0.6315085240324457,0
des_315m45,1,2,2.291517723173458,0.18463438913064062,1
des_315m45,1,3,2.9307704026570844,-1.6124613177675324,1
des_315m45,1,4,0.4102078638881552,-1.2114266064996446,0
des_315m45,1,5,0.7709522790756597,-0.3912506533329343,0
des_315m45,1,6,1.0967920440052195,-0.9798440657708701,1
des_315m45,1,7,0.9864685370227191,-0.36301897533379424,2
des_315m45,2,0,1.0062528657177574,1.3428062324715513,2
des_315m45,2,1,2.4544814175568845,2.9583241905244395,2
des_315m45,2,2,-1.2216890308665431,0.5243406872106712,0
des_315m45,2,3,2.163598061128947,-0.45482179192808586,1
des_315m45,2,4,4.2930122375225555,-0.3681763711757756,1
des_315m45,2,5,4.10242860468501,-1.8941340355727252,1
des_315m45,2,6,2.538848196972806,-0.01158487075031106,1
des_315m45,2,7,1.0327147215137829,0.3892340897055364,2
des_315m45,3,0,2.1607763467947647,-0.3677515665620415,1
des_315m45,3,1,-0.04790665457548127,-0.8760680958625077,0
des_315m45,3,2,0.28598305725893547,-0.5823901532935746,0
des_315m45,3,3,2.1311716924227486,-0.29887207729810994,1
des_315m45,3,4,1.0414173758244203,0.7843008052411085,2
des_315m45,3,5,5.5196745521796,-0.40834112756515695,1
des_315m45,3,6,2.3939322907664256,0.1182594757608258,1
des_315m45,3,7,2.053716500707785,-0.23002742819021266,1
des_315m45,4,0,0.2772066963796401,-0.23151797969900828,0
des_315m45,4,1,-1.3135141030976953,0.6557784665751636,0
des_315m45,4,2,-1.8537454724234068,-0.7956061073932847,0
des_315m45,4,3,1.1286623160452263,-2.434529930242477,1
des_315m45,4,4,0.8878109930317142,0.35743763083346947,2
des_315m45,4,5,1.2159985967041376,0.2053003580120173,2
des_315m45,4,6,1.0635054020313965,1.4148818251412685,2
des_315m45,4,7,1.4971095385462685,-1.1862387313716605,1
des_315m45,5,0,3.243492757368543,0.7713704836310836,1
des_315m45,5,1,2.300266633612814,1.0979915714306872,2
des_315m45,5,2,1.7305162085665715,-0.014810403917724257,1
des_315m45,5,3,0.9865390773723768,0.6422976963073157,2
des_315m45,5,4,0.14578231921402285,0.7259443126907664,2
