table_name,column_name,datatype,description
ls_dr11.tractor,allmask_g,adql:SMALLINT,Bitwise mask set if the central pixel from all images satisfy each condition in g as cataloged on the DR11 bitmasks page
ls_dr11.tractor,allmask_i,adql:SMALLINT,Bitwise mask set if the central pixel from all images satisfy each condition in i as cataloged on the DR11 bitmasks page
ls_dr11.tractor,allmask_r,adql:SMALLINT,Bitwise mask set if the central pixel from all images satisfy each condition in r as cataloged on the DR11 bitmasks page
ls_dr11.tractor,allmask_z,adql:SMALLINT,Bitwise mask set if the central pixel from all images satisfy each condition in z as cataloged on the DR11 bitmasks page
ls_dr11.tractor,anymask_g,adql:SMALLINT,Bitwise mask set if the central pixel from any image satisfies each condition in g as cataloged on the DR11 bitmasks page
ls_dr11.tractor,anymask_i,adql:SMALLINT,Bitwise mask set if the central pixel from any image satisfies each condition in i as cataloged on the DR11 bitmasks page
ls_dr11.tractor,anymask_r,adql:SMALLINT,Bitwise mask set if the central pixel from any image satisfies each condition in r as cataloged on the DR11 bitmasks page
ls_dr11.tractor,anymask_z,adql:SMALLINT,Bitwise mask set if the central pixel from any image satisfies each condition in z as cataloged on the DR11 bitmasks page
ls_dr11.tractor,blob_nea_g,adql:REAL,Blob-masked noise equivalent area_ in g.
ls_dr11.tractor,blob_nea_i,adql:REAL,Blob-masked noise equivalent area_ in i.
ls_dr11.tractor,blob_nea_r,adql:REAL,Blob-masked noise equivalent area_ in r.
ls_dr11.tractor,blob_nea_z,adql:REAL,Blob-masked noise equivalent area_ in z.
ls_dr11.tractor,brickid,adql:INTEGER,"Brick ID [1,662174]"
ls_dr11.tractor,brickname,adql:VARCHAR,"Name of brick, encoding the brick sky position, eg 1126p222 near RA=112.6, Dec=+22.2"
ls_dr11.tractor,brick_primary,adql:SMALLINT,True if the object is within the brick boundary
ls_dr11.tractor,bx,adql:REAL,X position (0-indexed) of coordinates in the brick image stack (*i.e.* in the *e.g.* legacysurvey-<brick>-image-g.fits.fz coadd file_)
ls_dr11.tractor,by,adql:REAL,Y position (0-indexed) of coordinates in brick image stack
ls_dr11.tractor,dchisq_1,adql:REAL,"Difference in |chi|^2 between successively more-complex model fits: PSF, REX, DEV, EXP, SER.  The difference is versus no source."
ls_dr11.tractor,dchisq_2,adql:REAL,"Difference in |chi|^2 between successively more-complex model fits: PSF, REX, DEV, EXP, SER.  The difference is versus no source."
ls_dr11.tractor,dchisq_3,adql:REAL,"Difference in |chi|^2 between successively more-complex model fits: PSF, REX, DEV, EXP, SER.  The difference is versus no source."
ls_dr11.tractor,dchisq_4,adql:REAL,"Difference in |chi|^2 between successively more-complex model fits: PSF, REX, DEV, EXP, SER.  The difference is versus no source."
ls_dr11.tractor,dchisq_5,adql:REAL,"Difference in |chi|^2 between successively more-complex model fits: PSF, REX, DEV, EXP, SER.  The difference is versus no source."
ls_dr11.tractor,dec,adql:DOUBLE,Declination at equinox J2000
ls_dr11.tractor,dec_ivar,adql:REAL,"Inverse variance of DEC, excluding astrometric calibration errors"
ls_dr11.tractor,dered_flux_g,adql:REAL,Dereddened g band flux
ls_dr11.tractor,dered_flux_i,adql:REAL,Dereddened i band flux
ls_dr11.tractor,dered_flux_r,adql:REAL,Dereddened r band flux
ls_dr11.tractor,dered_flux_w1,adql:REAL,Dereddened w1 band flux
ls_dr11.tractor,dered_flux_w2,adql:REAL,Dereddened w2 band flux
ls_dr11.tractor,dered_flux_w3,adql:REAL,Dereddened w3 band flux
ls_dr11.tractor,dered_flux_w4,adql:REAL,Dereddened w4 band flux
ls_dr11.tractor,dered_flux_z,adql:REAL,Dereddened z band flux
ls_dr11.tractor,dered_mag_g,adql:REAL,Dereddened g-band magnitude
ls_dr11.tractor,dered_mag_i,adql:REAL,Dereddened i-band magnitude
ls_dr11.tractor,dered_mag_r,adql:REAL,Dereddened r-band magnitude
ls_dr11.tractor,dered_mag_w1,adql:REAL,Dereddened w1-band magnitude
ls_dr11.tractor,dered_mag_w2,adql:REAL,Dereddened w2-band magnitude
ls_dr11.tractor,dered_mag_w3,adql:REAL,Dereddened w3-band magnitude
ls_dr11.tractor,dered_mag_w4,adql:REAL,Dereddened w4-band magnitude
ls_dr11.tractor,dered_mag_z,adql:REAL,Dereddened z-band magnitude
ls_dr11.tractor,ebv,adql:REAL,"Galactic extinction E(B-V) reddening from SFD98_, used to compute the mw_transmission_ columns"
ls_dr11.tractor,elat,adql:DOUBLE,Ecliptic Latitude
ls_dr11.tractor,elon,adql:DOUBLE,Ecliptic Longitude
ls_dr11.tractor,fiberflux_g,adql:REAL,Predicted g-band flux within a fiber of diameter 1.5 arcsec from this object in 1 arcsec Gaussian seeing
ls_dr11.tractor,fiberflux_i,adql:REAL,Predicted i-band flux within a fiber of diameter 1.5 arcsec from this object in 1 arcsec Gaussian seeing
ls_dr11.tractor,fiberflux_r,adql:REAL,Predicted r-band flux within a fiber of diameter 1.5 arcsec from this object in 1 arcsec Gaussian seeing
ls_dr11.tractor,fiberflux_z,adql:REAL,Predicted z-band flux within a fiber of diameter 1.5 arcsec from this object in 1 arcsec Gaussian seeing
ls_dr11.tractor,fibertotflux_g,adql:REAL,Predicted g-band flux within a fiber of diameter 1.5 arcsec from all sources at this location in 1 arcsec Gaussian seeing
ls_dr11.tractor,fibertotflux_i,adql:REAL,Predicted i-band flux within a fiber of diameter 1.5 arcsec from all sources at this location in 1 arcsec Gaussian seeing
ls_dr11.tractor,fibertotflux_r,adql:REAL,Predicted r-band flux within a fiber of diameter 1.5 arcsec from all sources at this location in 1 arcsec Gaussian seeing
ls_dr11.tractor,fibertotflux_z,adql:REAL,Predicted z-band flux within a fiber of diameter 1.5 arcsec from all sources at this location in 1 arcsec Gaussian seeing
ls_dr11.tractor,fitbits,adql:SMALLINT,"Bitwise mask detailing pecularities of how an object was fit, as cataloged on the DR11 bitmasks page"
ls_dr11.tractor,flux_g,adql:REAL,model flux in g
ls_dr11.tractor,flux_i,adql:REAL,model flux in i
ls_dr11.tractor,flux_ivar_g,adql:REAL,Inverse variance of flux_g
ls_dr11.tractor,flux_ivar_i,adql:REAL,Inverse variance of flux_i
ls_dr11.tractor,flux_ivar_r,adql:REAL,Inverse variance of flux_r
ls_dr11.tractor,flux_ivar_w1,adql:REAL,Inverse variance of flux_w1 (AB system)
ls_dr11.tractor,flux_ivar_w2,adql:REAL,Inverse variance of flux_w2 (AB)
ls_dr11.tractor,flux_ivar_w3,adql:REAL,Inverse variance of flux_w3 (AB)
ls_dr11.tractor,flux_ivar_w4,adql:REAL,Inverse variance of flux_w4 (AB)
ls_dr11.tractor,flux_ivar_z,adql:REAL,Inverse variance of flux_z
ls_dr11.tractor,flux_r,adql:REAL,model flux in r
ls_dr11.tractor,flux_w1,adql:REAL,WISE model flux in W1 (AB system)
ls_dr11.tractor,flux_w2,adql:REAL,WISE model flux in W2 (AB)
ls_dr11.tractor,flux_w3,adql:REAL,WISE model flux in W3 (AB)
ls_dr11.tractor,flux_w4,adql:REAL,WISE model flux in W4 (AB)
ls_dr11.tractor,flux_z,adql:REAL,model flux in z
ls_dr11.tractor,fracflux_g,adql:REAL,"Profile-weighted fraction of the flux from other sources divided by the total flux in g (typically [0,1])"
ls_dr11.tractor,fracflux_i,adql:REAL,"Profile-weighted fraction of the flux from other sources divided by the total flux in i (typically [0,1])"
ls_dr11.tractor,fracflux_r,adql:REAL,"Profile-weighted fraction of the flux from other sources divided by the total flux in r (typically [0,1])"
ls_dr11.tractor,fracflux_w1,adql:REAL,"Profile-weighted fraction of the flux from other sources divided by the total flux in W1 (typically [0,1])"
ls_dr11.tractor,fracflux_w2,adql:REAL,"Profile-weighted fraction of the flux from other sources divided by the total flux in W2 (typically [0,1])"
ls_dr11.tractor,fracflux_w3,adql:REAL,"Profile-weighted fraction of the flux from other sources divided by the total flux in W3 (typically [0,1])"
ls_dr11.tractor,fracflux_w4,adql:REAL,"Profile-weighted fraction of the flux from other sources divided by the total flux in W4 (typically [0,1])"
ls_dr11.tractor,fracflux_z,adql:REAL,"Profile-weighted fraction of the flux from other sources divided by the total flux in z (typically [0,1])"
ls_dr11.tractor,fracin_g,adql:REAL,"Fraction of a source flux within the blob in g, near unity for real sources"
ls_dr11.tractor,fracin_i,adql:REAL,"Fraction of a source flux within the blob in i, near unity for real sources"
ls_dr11.tractor,fracin_r,adql:REAL,"Fraction of a source flux within the blob in r, near unity for real sources"
ls_dr11.tractor,fracin_z,adql:REAL,"Fraction of a source flux within the blob in z, near unity for real sources"
ls_dr11.tractor,fracmasked_g,adql:REAL,"Profile-weighted fraction of pixels masked from all observations of this object in g, strictly between [0,1]"
ls_dr11.tractor,fracmasked_i,adql:REAL,"Profile-weighted fraction of pixels masked from all observations of this object in i, strictly between [0,1]"
ls_dr11.tractor,fracmasked_r,adql:REAL,"Profile-weighted fraction of pixels masked from all observations of this object in r, strictly between [0,1]"
ls_dr11.tractor,fracmasked_z,adql:REAL,"Profile-weighted fraction of pixels masked from all observations of this object in z, strictly between [0,1]"
ls_dr11.tractor,gaia_a_g_val,adql:REAL,Gaia EDR3_ line-of-sight extinction in the G band
ls_dr11.tractor,gaia_astrometric_excess_noise,adql:REAL,Gaia EDR3_ astrometric excess noise
ls_dr11.tractor,gaia_astrometric_excess_noise_sig,adql:REAL,Gaia EDR3_ astrometric excess noise uncertainty
ls_dr11.tractor,gaia_astrometric_n_good_obs_al,adql:SMALLINT,Gaia EDR3_ number of good astrometric observations along scan direction
ls_dr11.tractor,gaia_astrometric_n_obs_al,adql:SMALLINT,Gaia EDR3_ number of astrometric observations along scan direction
ls_dr11.tractor,gaia_astrometric_params_solved,adql:SMALLINT,Which astrometric parameters were estimated for a Gaia EDR3_ source
