selection,field,rows,fraction_of_all
all,cosmos,33577,1.0
all,xmm_lss,41042,1.0
all,cdfs,37452,1.0
all,elais_s1,30975,1.0
all,south_045m30,31482,1.0
all,south_075m45,26969,1.0
all,south_105m35,30339,1.0
all,south_135m25,21441,1.0
all,south_210m35,28814,1.0
all,des_315m45,31764,1.0
all,south_330m45,29136,1.0
all,south_345m30,16929,1.0
maskbits0,cosmos,32247,0.9603895523721595
maskbits0,xmm_lss,39440,0.960966814482725
maskbits0,cdfs,35961,0.9601890419737263
maskbits0,elais_s1,29081,0.9388539144471348
maskbits0,south_045m30,30248,0.9608029985388475
maskbits0,south_075m45,25484,0.9449367792650821
maskbits0,south_105m35,25428,0.8381291407099772
maskbits0,south_135m25,18277,0.8524322559582109
maskbits0,south_210m35,26467,0.918546539876449
maskbits0,des_315m45,29891,0.941033874826848
maskbits0,south_330m45,27500,0.9438495332235036
maskbits0,south_345m30,14524,0.8579360860062615
allbands,cosmos,32247,0.9603895523721595
allbands,xmm_lss,41042,1.0
allbands,cdfs,37452,1.0
allbands,elais_s1,30975,1.0
allbands,south_045m30,31482,1.0
allbands,south_075m45,26969,1.0
allbands,south_105m35,13866,0.4570354988628498
allbands,south_135m25,17282,0.8060258383470921
allbands,south_210m35,28429,0.9866384396473936
allbands,des_315m45,31764,1.0
allbands,south_330m45,29136,1.0
allbands,south_345m30,15799,0.9332506350050209
clean_allbands,cosmos,30933,0.921255621407511
clean_allbands,xmm_lss,39440,0.960966814482725
clean_allbands,cdfs,35961,0.9601890419737263
clean_allbands,elais_s1,29081,0.9388539144471348
clean_allbands,south_045m30,30248,0.9608029985388475
clean_allbands,south_075m45,25484,0.9449367792650821
clean_allbands,south_105m35,11566,0.3812254853488909
clean_allbands,south_135m25,14682,0.6847628375542185
clean_allbands,south_210m35,26107,0.9060526133129728
clean_allbands,des_315m45,29891,0.941033874826848
clean_allbands,south_330m45,27500,0.9438495332235036
clean_allbands,south_345m30,13506,0.7978025872762715
thin50,cosmos,16788,0.4999851088542753
thin50,xmm_lss,20521,0.5
thin50,cdfs,18726,0.5
thin50,elais_s1,15488,0.5000161420500403
thin50,south_045m30,15741,0.5
thin50,south_075m45,13484,0.49998146019503875
thin50,south_105m35,15170,0.5000164804377204
thin50,south_135m25,10720,0.49997668019215524
thin50,south_210m35,14407,0.5
thin50,des_315m45,15882,0.5
thin50,south_330m45,14568,0.5
thin50,south_345m30,8464,0.4999704648827456
equal11000_clean,cosmos,11000,0.3276052059445454
equal11000_clean,xmm_lss,11000,0.2680181277715511
equal11000_clean,cdfs,11000,0.2937092812132863
equal11000_clean,elais_s1,11000,0.35512510088781274
equal11000_clean,south_045m30,11000,0.3494060097833683
equal11000_clean,south_075m45,11000,0.4078757091475398
equal11000_clean,south_105m35,11000,0.3625696298493688
equal11000_clean,south_135m25,11000,0.5130357725852339
equal11000_clean,south_210m35,11000,0.38175886721732494
equal11000_clean,des_315m45,11000,0.34630399194056166
equal11000_clean,south_330m45,11000,0.37753981328940145
equal11000_clean,south_345m30,11000,0.649772579597141
