selection,metric,n_fields,real_median,matched_shift_median,positive_fields,mean_paired_advantage,exact_one_sided_signflip_p
all,void_auc,12,0.7005602240896358,0.5051187688190031,12,0.2135859443260535,0.000244140625
all,overdense_auc,12,0.7213784859279226,0.48297795771479984,12,0.22800637560186085,0.000244140625
all,peak_auc,12,0.6412743506493506,0.43579545454545454,8,0.12746241548319334,0.007568359375
all,gaussian_corr,12,0.121032637953406,-0.006126509039965026,12,0.1352009446080972,0.000244140625
all,gaussian_mse,12,1.0526188045688376,1.1012962867452596,11,0.05311504231882309,0.000732421875
maskbits0,void_auc,12,0.7873840445269017,0.5159902597402597,12,0.28289457095322346,0.000244140625
maskbits0,overdense_auc,12,0.6769343733448889,0.5073593238935841,12,0.1748319020653285,0.000244140625
maskbits0,peak_auc,12,0.6544568163072935,0.5340366353275985,10,0.09916641951156498,0.0048828125
maskbits0,gaussian_corr,12,0.38501219140750753,0.02088255408345519,12,0.36524878135153865,0.000244140625
maskbits0,gaussian_mse,12,0.818801519247468,1.0194207968663247,12,0.20985634057863053,0.000244140625
allbands,void_auc,11,0.7291666666666666,0.4842105263157895,11,0.2958983089853454,0.00048828125
allbands,overdense_auc,12,0.7317753001715266,0.5183139534883721,12,0.2508814172809511,0.000244140625
allbands,peak_auc,11,0.6474576271186441,0.5333333333333334,8,0.11801019114483217,0.0234375
allbands,gaussian_corr,12,0.18191633775427085,0.001126141898327724,12,0.32673059335341775,0.000244140625
allbands,gaussian_mse,12,0.7709727830902665,1.0076678468839422,11,0.3029565809184813,0.00048828125
clean_allbands,void_auc,11,0.8558558558558558,0.5146198830409356,11,0.3577844867019508,0.00048828125
clean_allbands,overdense_auc,12,0.7600054824561404,0.5409414340448824,11,0.2223236866169769,0.00048828125
clean_allbands,peak_auc,11,0.6839080459770115,0.5137844611528821,10,0.17261534001839368,0.00244140625
clean_allbands,gaussian_corr,12,0.46900863613289745,0.0017598574286069955,12,0.490317041767859,0.000244140625
clean_allbands,gaussian_mse,12,0.7360983881727711,1.0025913910914444,12,0.3675366317842869,0.000244140625
thin50,void_auc,12,0.6469254032258065,0.43752620545073373,11,0.18460710704832362,0.00146484375
thin50,overdense_auc,12,0.697798645320197,0.48573481116584566,12,0.21125768852154028,0.000244140625
thin50,peak_auc,12,0.5532282391864934,0.4843597262952102,8,0.06725646434070785,0.11767578125
thin50,gaussian_corr,12,0.08849703741996662,-0.007257050689396893,12,0.09155525284338865,0.000244140625
thin50,gaussian_mse,12,0.9700922723365237,0.9884883201489431,12,0.04236184207895339,0.000244140625
equal11000_clean,void_auc,11,0.7410714285714286,0.4084821428571429,11,0.35104145745225224,0.00048828125
equal11000_clean,overdense_auc,11,0.7427427427427428,0.48484848484848486,10,0.24818299540147404,0.001953125
equal11000_clean,peak_auc,12,0.6013354700854701,0.5122027534418022,8,0.09658614980316253,0.0517578125
equal11000_clean,gaussian_corr,12,0.24559662784553477,-0.006492169803018427,12,0.3040050612384455,0.000244140625
equal11000_clean,gaussian_mse,12,0.677107453326241,0.8388116785473817,12,0.208473595168955,0.000244140625
