selection,field,sample,void_auc,overdense_auc,peak_auc,gaussian_corr,gaussian_mse
all,cosmos,real,0.8818713450292397,0.7286549707602339,0.5228070175438597,0.21446208174664136,0.9584582436963628
all,cosmos,matched_shift,0.6,0.49005847953216375,0.4070175438596491,0.02145832215583099,1.0416922851478863
all,xmm_lss,real,0.7242841993637328,0.718397997496871,0.6363636363636362,0.18284451273987554,1.2556891176073357
all,xmm_lss,matched_shift,0.5747613997879109,0.4430538172715895,0.440909090909091,0.02572647376662232,1.3319483785344644
all,cdfs,real,0.7058823529411765,0.7328571428571429,0.6502923976608187,0.09837293060701431,1.1528855109957636
all,cdfs,matched_shift,0.3197586726998492,0.31142857142857144,0.3929824561403509,0.0033226360174196563,1.179996817716384
all,elais_s1,real,0.862155388471178,0.6395494367959951,0.7666666666666667,0.13890198241315102,0.7793332128117112
all,elais_s1,matched_shift,0.44110275689223055,0.620775969962453,0.5583333333333333,-0.05879165214682948,0.8500523090567054
all,south_045m30,real,0.6338797814207651,0.5723076923076923,0.5258620689655172,0.06567401462446901,0.7884113868485454
all,south_045m30,matched_shift,0.5081967213114754,0.47589743589743594,0.5517241379310345,0.0348739973961019,0.8135518075328718
all,south_075m45,real,0.6037735849056604,0.6571428571428571,0.647953216374269,0.0746838261603822,1.2008434884725943
all,south_075m45,matched_shift,0.44768439108061747,0.5635467980295567,0.5403508771929825,0.013824872013814656,1.2275065405063539
all,south_105m35,real,0.670748299319728,0.7834793491864831,0.6624999999999999,0.1242259702136741,1.0635913498704408
all,south_105m35,matched_shift,0.3755102040816327,0.43679599499374216,0.41250000000000003,-0.07634952888860766,1.1609002883426274
all,south_135m25,real,0.6952380952380952,0.6394557823129252,0.5540308747855918,0.04963288489592607,1.0536211254681405
all,south_135m25,matched_shift,0.5020408163265306,0.5061224489795918,0.6689536878216124,0.014352931150588225,1.0363724284922506
all,south_210m35,real,0.7210144927536232,0.7555555555555555,0.6650641025641025,0.061423686892830565,1.2768117569431148
all,south_210m35,matched_shift,0.6618357487922706,0.3703703703703704,0.3798076923076923,-0.0203292628599659,1.2886787600253544
all,des_315m45,real,0.6605128205128206,0.6892230576441103,0.4161616161616162,0.11982997431838494,0.9303079121232578
all,des_315m45,matched_shift,0.4635897435897436,0.33834586466165417,0.4505050505050505,-0.06936234262432048,1.009622966275925
all,south_330m45,real,0.6536458333333334,0.7243589743589743,0.5457627118644068,0.12223530158842717,0.778052820436507
all,south_330m45,matched_shift,0.5377604166666667,0.719551282051282,0.5627118644067797,-0.015575654097349423,0.8115776692428862
all,south_345m30,real,0.7655172413793103,0.9155354449472097,0.6473214285714286,0.22454078069020394,1.0516164836695376
all,south_345m30,matched_shift,0.5832512315270937,0.5444947209653092,0.3549107142857143,-0.018734180289490546,1.1751026658954788
maskbits0,cosmos,real,0.7965367965367965,0.5888888888888889,0.662778366914104,0.3415121218419422,0.900888592357978
maskbits0,cosmos,matched_shift,0.4242424242424243,0.5611111111111111,0.4814422057264051,0.011654278648122173,1.0750697425788758
maskbits0,xmm_lss,real,0.8555555555555556,0.6799557032115171,0.6038647342995169,0.280023371576956,0.8291077596902916
maskbits0,xmm_lss,matched_shift,0.5944444444444444,0.4451827242524917,0.47342995169082125,0.051090182989363,0.9261629334799618
maskbits0,cdfs,real,0.6884920634920635,0.7589285714285715,0.5863636363636364,0.3866523654738308,1.318360749535393
maskbits0,cdfs,matched_shift,0.5297619047619048,0.5602678571428572,0.47159090909090906,-0.005601156816245099,1.661690828992056
maskbits0,elais_s1,real,0.8653061224489796,0.5591766723842195,0.7268170426065164,0.4826164382276969,0.8603978740462594
maskbits0,elais_s1,matched_shift,0.638095238095238,0.5025728987993139,0.6591478696741855,-0.023248010996989334,1.1877844309040424
maskbits0,south_045m30,real,0.9084821428571428,0.6739130434782609,0.5022321428571428,0.46563491755283526,0.7123836864380488
maskbits0,south_045m30,matched_shift,0.5044642857142857,0.4190821256038647,0.5223214285714286,0.024099292696910208,0.9544893525753326
maskbits0,south_075m45,real,0.8011695906432749,0.7142857142857143,0.7125,0.452498883006664,1.1490547285241601
maskbits0,south_075m45,matched_shift,0.44912280701754387,0.5813953488372093,0.5947916666666666,0.0423743835765173,1.4891153451665273
