metric,comparison,n_fields,positive_fields,median_raw,median_residual,median_null,mean_difference,exact_one_sided_signflip_p
void_auc,residual_minus_shift,12,10,0.7005602240896358,0.7016129032258065,0.49029488615154915,0.1950150921123984,0.0009765625
void_auc,residual_minus_raw,12,5,0.7005602240896358,0.7016129032258065,0.49029488615154915,-0.00889287787537959,0.7099609375
overdense_auc,residual_minus_shift,12,12,0.7213784859279226,0.717116317256654,0.4618489583333334,0.31695055863941124,0.000244140625
overdense_auc,residual_minus_raw,12,5,0.7213784859279226,0.717116317256654,0.4618489583333334,0.0315195725528773,0.21826171875
peak_auc,residual_minus_shift,12,11,0.6418425324675324,0.7135506003430532,0.4522167487684729,0.2386808724983198,0.00048828125
peak_auc,residual_minus_raw,12,8,0.6418425324675324,0.7135506003430532,0.4522167487684729,0.07039613676799904,0.0087890625
gaussian_corr,residual_minus_shift,12,12,0.12103263795340605,0.12311455672495636,-0.013940777963018992,0.1499303297106135,0.000244140625
gaussian_corr,residual_minus_raw,12,7,0.12103263795340605,0.12311455672495636,-0.013940777963018992,5.284638256805585e-05,0.498046875
gaussian_mse,shift_minus_residual,12,12,1.052618804568839,0.8668046584903615,0.9858289287089025,0.07266270354931638,0.000244140625
gaussian_mse,raw_minus_residual,12,12,1.052618804568839,0.8668046584903615,0.9858289287089025,0.154510127904165,0.000244140625
