field,sample,selection_model_cell_r2,void_auc,overdense_auc,peak_auc,gaussian_corr,gaussian_mse
cosmos,raw,-0.02847824025970369,0.8818713450292397,0.7286549707602339,0.5228070175438597,0.2144620817466413,0.9584582436963652
cosmos,systematics_residual,-0.02847824025970369,0.7993966817496229,0.7187153931339978,0.5020408163265306,0.22841356488168846,0.8774841993714899
cosmos,residual_matched_shift,-0.02847824025970369,0.48567119155354455,0.3477297895902547,0.4707482993197279,-0.006122403166220936,0.9817064393000479
xmm_lss,raw,-0.03890085729799453,0.7242841993637328,0.718397997496871,0.6352272727272726,0.18284451273987562,1.2556891176073273
xmm_lss,systematics_residual,-0.03890085729799453,0.6911045943304007,0.823728813559322,0.5757575757575757,0.19906859090977633,1.15554467485566
xmm_lss,residual_matched_shift,-0.03890085729799453,0.5112414467253177,0.5661016949152542,0.28484848484848485,0.0034257356958370096,1.2832085181844781
cdfs,raw,-0.005991727274232916,0.7058823529411765,0.7328571428571429,0.6502923976608187,0.09837293060701431,1.152885510995767
cdfs,systematics_residual,-0.005991727274232916,0.7181818181818181,0.7155172413793103,0.7155172413793103,0.10557744370483539,1.0482820683470084
cdfs,residual_matched_shift,-0.005991727274232916,0.3181818181818182,0.31896551724137934,0.26436781609195403,-0.0390288584204972,1.1155394727760153
elais_s1,raw,-0.008820930949517747,0.862155388471178,0.6395494367959951,0.7666666666666667,0.1389019824131511,0.77933321281171
elais_s1,systematics_residual,-0.008820930949517747,0.8070175438596492,0.6383838383838384,0.8688524590163933,0.14230287462023375,0.7228372644550399
elais_s1,residual_matched_shift,-0.008820930949517747,0.4912280701754386,0.4787878787878788,0.40437158469945356,-0.014173713772538753,0.7668771322950954
south_045m30,raw,-0.0523667219897368,0.6338797814207651,0.5723076923076923,0.5258620689655172,0.06567401462446894,0.788411386848544
south_045m30,systematics_residual,-0.0523667219897368,0.7016129032258065,0.6085714285714285,0.5491525423728814,0.06557029489215427,0.7232377762715636
south_045m30,residual_matched_shift,-0.0523667219897368,0.6290322580645161,0.5042857142857142,0.36610169491525424,0.044268192999493465,0.7297008986407234
south_075m45,raw,-0.0014968397317183246,0.6037735849056604,0.6571428571428571,0.647953216374269,0.07468382616038219,1.200843488472597
south_075m45,systematics_residual,-0.0014968397317183246,0.620775969962453,0.722473604826546,0.7135506003430532,0.09392182363590082,1.076576201094062
south_075m45,residual_matched_shift,-0.0014968397317183246,0.4893617021276596,0.45098039215686275,0.5454545454545454,0.008470352365425473,1.110359108925674
south_105m35,raw,-0.07196635141426921,0.670748299319728,0.7834793491864831,0.6624999999999999,0.12422597021367406,1.063591349870444
south_105m35,systematics_residual,-0.07196635141426921,0.7016129032258065,0.7490079365079365,0.7280788177339901,0.17870835148989292,0.5247916738625081
south_105m35,residual_matched_shift,-0.07196635141426921,0.564516129032258,0.4742063492063492,0.4522167487684729,-0.1587547118663742,0.6570657023988893
south_135m25,raw,-0.2231642804498264,0.6952380952380952,0.6394557823129252,0.5540308747855918,0.049632884895926155,1.053621125468139
south_135m25,systematics_residual,-0.2231642804498264,,0.5807259073842302,0.6512820512820513,-0.00716185808045541,0.6781732116034089
south_135m25,residual_matched_shift,-0.2231642804498264,,0.5269086357947435,0.4471794871794872,-0.02316682585922935,0.6934992591315955
south_210m35,raw,0.011936561366725384,0.7210144927536232,0.7555555555555555,0.6650641025641025,0.061423686892830585,1.2768117569431183
south_210m35,systematics_residual,0.011936561366725384,0.6666666666666666,0.6958333333333333,0.6644067796610169,0.04796586143440351,1.0920244943512494
south_210m35,residual_matched_shift,0.011936561366725384,0.6299319727891156,0.4666666666666667,0.6305084745762712,-0.004258112787497106,1.1116016667265276
des_315m45,raw,-0.35310418219413986,0.6605128205128206,0.6892230576441103,0.3851851851851852,0.1198299743183849,0.93030791212326
des_315m45,systematics_residual,-0.35310418219413986,0.6183035714285714,0.9841269841269842,,0.11549093703626799,0.8561251177175211
des_315m45,residual_matched_shift,-0.35310418219413986,0.48660714285714285,0.12698412698412698,,-0.07072981567022622,0.9899514177134452
south_330m45,raw,-0.01106785178930858,0.6536458333333334,0.7243589743589743,0.5457627118644068,0.12223530158842714,0.778052820436506
south_330m45,systematics_residual,-0.01106785178930858,0.7041666666666667,0.9841269841269842,0.8709677419354839,0.13073817603713783,0.7123456716809684
south_330m45,residual_matched_shift,-0.01106785178930858,0.47291666666666665,0.4126984126984127,0.6129032258064516,-0.04792385037793057,0.7746313350810399
south_345m30,raw,-0.4792627304627788,0.7655172413793103,0.9155354449472097,0.6473214285714286,0.22454078069020386,1.051616483669536
south_345m30,systematics_residual,-0.4792627304627788,,0.7135416666666667,0.7593749999999999,0.1768660426306536,0.9680785207762703
south_345m30,residual_matched_shift,-0.4792627304627788,,0.45703125000000006,0.49479166666666663,-0.013707842162997136,1.093312365649719
