field,dec,lag,sep_arcmin,rho_x,rho_y,rho_diag_ne,rho_diag_nw,null_x,null_y,null_diag_ne,null_diag_nw
f00_ra156_p05,5.0,1,0.2625,0.0560440010669896,0.0500260699352144,0.0304857799669352,0.0331448147029864,-0.0053300984820278,-0.0029000863425943,-0.0081220406242648,-0.0373687220221278
f00_ra156_p05,5.0,2,0.525,0.0301790843493227,0.0309593505919684,0.0101239752226909,0.0050490555180448,0.0118026382766667,-0.0119949356093855,0.0020505643237542,0.0056765317461133
f00_ra156_p05,5.0,4,1.05,0.0234305606624629,0.0204438455844134,-0.005454328566312,0.0094728831233869,-0.0049861801014362,0.0127759499042983,0.0033282644247332,0.0242858507906116
f00_ra156_p05,5.0,8,2.1,0.0189409753546451,0.0143659361695426,-0.0130993010121731,-0.0049091679134846,0.0042339881449144,0.0269610854248987,-0.0102385592010155,0.0131579514049776
f01_ra132_m05,-5.0,1,0.2625,0.1153173317082319,0.0981216041881613,0.0864343066098458,0.0815147518348301,-0.0001632184020187,0.0037344175272769,-0.0069207155423551,-0.0168770739040436
f01_ra132_m05,-5.0,2,0.525,0.0745715435519926,0.0579284302292835,0.0497538958580191,0.042901227920302,0.0042662342413334,-0.0090809189072207,-0.0169905656065789,0.0005310949778146
f01_ra132_m05,-5.0,4,1.05,0.0510398617282359,0.0331165212773322,0.0282438923968405,0.0192104692198063,0.0109405168261907,-0.0055241576622305,0.0068675026810579,-0.0130038972289909
f01_ra132_m05,-5.0,8,2.1,0.0394485013584617,0.0209470763716958,0.0165621626048088,-0.0055142134132756,0.0114756830948404,0.001474120703932,-0.0044096980800883,0.0099773969977414
f02_ra144_p15,15.0,1,0.2625,0.102669479594603,0.1010599662289081,0.0838595021809822,0.0857299922137588,0.0124501666611691,-0.0027433245929006,0.0049512753761387,0.0139470613464236
f02_ra144_p15,15.0,2,0.525,0.0658651272502336,0.0650270184341638,0.0481205282563818,0.0492022403818097,-0.008468445450374,0.0002291064988207,0.004792979069572,0.000977266926455
f02_ra144_p15,15.0,4,1.05,0.044987856683827,0.0413716368855322,0.0225499551299051,0.0346530283056914,0.0097934777591397,0.0013104764850011,-0.0018008813688132,0.0016172097494207
f02_ra144_p15,15.0,8,2.1,0.0321263072174349,0.0270729111542545,0.0187798911059811,0.0156311313224768,0.0055526474071797,-0.0075158386044414,0.0115788888304285,-0.0102295093606719
f03_ra036_m35,-35.0,1,0.2625,0.1429233327193244,0.1119643807506778,0.1032405128166369,0.1068742490981129,-0.005740910753726,0.0124881950893697,-0.0026347885651625,0.0005172852293637
f03_ra036_m35,-35.0,2,0.525,0.0956773460495153,0.0723986617865827,0.0613956372484973,0.0586870940655334,-0.0083169376759382,-0.0136418530444081,-0.0036035177635565,0.0035726645419202
f03_ra036_m35,-35.0,4,1.05,0.0712592290744981,0.0440247574444915,0.0364950973053038,0.0239197265793116,0.0020928458821845,-0.0076099017209483,-0.0067233486782294,0.0025886243869166
f03_ra036_m35,-35.0,8,2.1,0.0506388674682084,0.0255819541460612,0.027881877269395,0.007710536565483,0.0040889561359148,-0.0013243066450566,-0.0099847702719061,0.0088730484649894
f04_ra180_m05,-5.0,1,0.2625,0.0550243705390302,0.0510957605179453,0.036137404042495,0.0418901230499278,0.0100685935052204,0.0086161508805787,-0.009989543525319,-0.0083551861188087
f04_ra180_m05,-5.0,2,0.525,0.0291522791385201,0.0294691543100482,0.0131402335300778,0.0205526451657701,0.0096447747196668,-0.0051198038477717,0.0026181458523741,-0.0109530210547509
f04_ra180_m05,-5.0,4,1.05,0.0182732542946849,0.0197604995137851,0.0007448526917181,0.0080618054958212,0.0044640655220565,-0.0114579505203119,0.0128784549359004,0.0139538858592779
f04_ra180_m05,-5.0,8,2.1,0.0050970685066039,0.0051206880320297,-0.0044986103211862,-0.0046164306419327,0.0044190875109401,-0.0020912983216475,0.0021885203485345,-0.0066177814788253
f05_ra276_m55,-55.0,1,0.2625,0.0563193132626309,0.0364014569430154,0.0167783695641522,0.028627582157216,0.0010448315780184,0.0026153143067641,-0.0062432719990953,-0.0005240978697518
f05_ra276_m55,-55.0,2,0.525,0.0269373097512288,0.0160091145618017,-0.0014269318018741,0.0086224892311575,-0.0022198049556699,0.0020283870857987,-0.0036592537811322,-0.0027878239094761
f05_ra276_m55,-55.0,4,1.05,0.0146344443921908,0.0116236627318303,-0.0066379018987916,-0.0033054025167055,-0.0004359584227031,0.0075908189830709,0.0059433743552507,-0.0138367805422486
f05_ra276_m55,-55.0,8,2.1,0.0156770153878859,0.0099487162590787,0.0049770520573097,-0.0084123334250572,-0.0047174655663424,-0.0091623566447147,0.0045338285263687,-0.001324936556789
f06_ra072_m05,-5.0,1,0.2625,0.0859982010032167,0.0701527738228421,0.0565611747847735,0.0535055121100387,0.0034984086813039,-0.0044833062573945,0.0137641089771588,-0.0119916888921706
f06_ra072_m05,-5.0,2,0.525,0.0479913001390917,0.0365917488413859,0.026933853949823,0.0220196265443238,-0.0084835794082384,0.0045115052462193,0.0004493895637056,0.0074835223126022
f06_ra072_m05,-5.0,4,1.05,0.0358275475672101,0.0265245601974916,0.0144720600084101,0.0138303747746348,-0.0021053173346694,-0.0043859140166791,-0.0043890336106349,-0.0026787438883534
