field,candidate_bricks,used_bricks,used_drversion_counts,assigned_fraction,median_coverage,min_coverage,max_coverage
f00_ra156_p05,15,"['1558p047', '1558p050', '1558p052', '1560p047', '1560p050', '1560p052']","{'9': 6, '11': 0, 'other': 0}",1.0,0.9949179144934724,0.9949179144934724,0.9997613138506647
f01_ra132_m05,15,"['1317m047', '1317m050', '1317m052', '1319m047', '1319m050', '1319m052', '1322m047', '1322m050', '1322m052']","{'9': 9, '11': 0, 'other': 0}",1.0,0.9980330146848786,0.9969758408404815,0.9990447501033024
f02_ra144_p15,15,"['1439p147', '1439p150', '1439p152', '1441p150', '1441p152', '1442p147']","{'9': 6, '11': 0, 'other': 0}",1.0,0.9996694306829725,0.9946986928853738,0.9996694306829725
f03_ra036_m35,13,"['0357m350', '0359m347', '0359m352', '0360m350', '0362m347', '0362m352']","{'9': 6, '11': 0, 'other': 0}",1.0,0.9998826469083235,0.9977629099024196,0.9998826469083235
f04_ra180_m05,18,"['1798m047', '1798m050', '1798m052', '1801m047', '1801m050', '1801m052']","{'9': 6, '11': 0, 'other': 0}",1.0,0.999024814599119,0.9985770906936965,0.999736061646229
f05_ra276_m55,9,"['2756m547', '2756m550', '2758m552', '2760m547', '2760m550', '2763m552']","{'9': 0, '11': 6, 'other': 0}",1.0,0.9721276010140063,0.9700519169526128,0.9916105801611264
f06_ra072_m05,15,"['0718m047', '0718m050', '0718m052', '0720m047', '0720m050', '0720m052']","{'9': 6, '11': 0, 'other': 0}",1.0,0.9967268081982373,0.9958036683660749,0.9992374471979282
f07_ra216_m05,15,"['2159m047', '2159m050', '2159m052', '2162m047', '2162m050', '2162m052']","{'9': 6, '11': 0, 'other': 0}",1.0,0.999361527015685,0.9988263000439066,0.9996995072019889
f08_ra336_m25,14,"['3358m252', '3359m247', '3359m250', '3361m250', '3361m252', '3362m247']","{'9': 0, '11': 6, 'other': 0}",1.0,0.9995271787699106,0.8867376014574303,0.9995271787699106
f09_ra216_p15,15,"['2157p147', '2158p150', '2158p152', '2160p147', '2160p150', '2160p152']","{'9': 6, '11': 0, 'other': 0}",1.0,0.9990799521497098,0.9951116816100285,0.9997997087753707
f10_ra240_m35,12,"['2397m352', '2398m350', '2399m347', '2400m352', '2401m350', '2402m347']","{'9': 0, '11': 6, 'other': 0}",1.0,0.8938258611547969,0.808181361645715,0.9805288973072136
f11_ra060_m35,12,"['0597m352', '0598m350', '0599m347', '0600m352', '0601m350', '0602m347']","{'9': 6, '11': 0, 'other': 0}",1.0,0.999476488978152,0.9985652105928239,0.9998116318959577
f12_ra312_m05,15,"['3117m047', '3117m050', '3117m052', '3119m047', '3119m050', '3119m052', '3122m047', '3122m050', '3122m052']","{'9': 9, '11': 0, 'other': 0}",1.0,0.9812170373903621,0.9812170373903621,0.9987127916467922
f13_ra228_p05,15,"['2277p047', '2277p050', '2277p052', '2280p047', '2280p050', '2280p052', '2282p047', '2282p050', '2282p052']","{'9': 9, '11': 0, 'other': 0}",1.0,0.9996067216753097,0.9925217891019613,0.9996067216753097
f14_ra264_m05,15,"['2638m047', '2638m050', '2638m052', '2641m047', '2641m050', '2641m052']","{'9': 0, '11': 6, 'other': 0}",1.0,0.0,0.0,0.0
f15_ra144_m25,14,"['1438m247', '1438m250', '1439m252', '1440m250', '1441m247', '1442m252']","{'9': 0, '11': 6, 'other': 0}",1.0,0.9928939224253835,0.9860426884810606,0.9985693909107911
f16_ra288_m25,14,"['2877m250', '2878m247', '2878m252', '2880m250', '2880m252', '2881m247']","{'9': 0, '11': 6, 'other': 0}",1.0,0.0,0.0,0.0
f17_ra048_m15,15,"['0479m147', '0479m150', '0479m152', '0481m147', '0482m150', '0482m152']","{'9': 6, '11': 0, 'other': 0}",1.0,0.9983333302238221,0.9983333302238221,0.9997947842772662
f18_ra096_m15,15,"['0958m150', '0958m152', '0959m147', '0960m150', '0960m152', '0961m147']","{'9': 0, '11': 6, 'other': 0}",1.0,0.7979527769264313,0.7979527769264313,0.9322039117405149
f19_ra132_p25,14,"['1317p247', '1318p252', '1319p250', '1320p247', '1321p252', '1322p250']","{'9': 6, '11': 0, 'other': 0}",1.0,0.995720318131314,0.9951359058417177,0.9991006459483713
f20_ra120_p25,14,"['1198p250', '1199p247', '1199p252', '1201p250', '1202p247', '1202p252']","{'9': 6, '11': 0, 'other': 0}",1.0,0.9972651619168531,0.9949769857430003,0.9988298805585131
f21_ra084_p05,15,"['0838p047', '0838p050', '0838p052', '0841p047', '0841p050', '0841p052']","{'9': 0, '11': 6, 'other': 0}",1.0,0.0,0.0,0.0
f22_ra036_p05,15,"['0359p047', '0359p050', '0359p052', '0362p047', '0362p050', '0362p052']","{'9': 6, '11': 0, 'other': 0}",1.0,0.9990105704257414,0.9979169055568862,0.9997326545545812
f23_ra012_m35,14,"['0116m347', '0117m350', '0117m352', '0119m347', '0120m350', '0120m352', '0122m347']","{'9': 7, '11': 0, 'other': 0}",1.0,0.9994961968936925,0.9991662156243328,0.9998551701618934
f24_ra012_m55,9,"['0115m552', '0118m547', '0119m550', '0120m552', '0123m547', '0123m550', '0124m552']","{'9': 7, '11': 0, 'other': 0}",1.0,0.999654679900616,0.9979516003260697,0.9996571199984761
f25_ra228_m35,13,"['2278m347', '2278m352', '2279m350', '2281m347', '2281m352', '2282m350']","{'9': 0, '11': 6, 'other': 0}",1.0,0.9269257922564962,0.9269257922564962,0.9958324724200743
f26_ra312_p05,15,"['3117p047', '3117p050', '3117p052', '3119p047', '3119p050', '3119p052', '3122p047', '3122p050', '3122p052']","{'9': 9, '11': 0, 'other': 0}",1.0,0.9979569373380494,0.9943701441359095,0.9983524296384604
f27_ra060_m05,15,"['0597m047', '0597m050', '0597m052', '0600m047', '0600m050', '0600m052']","{'9': 6, '11': 0, 'other': 0}",1.0,0.9993825606634148,0.9978796008384856,0.9997763478666792
f28_ra192_p05,15,"['1919p047', '1919p050', '1919p052', '1921p047', '1921p050', '1921p052']","{'9': 6, '11': 0, 'other': 0}",1.0,0.9976184482731715,0.997504351888673,0.9993372426681303
f29_ra312_m25,14,"['3117m247', '3118m252', '3119m250', '3120m247', '3121m252', '3122m250']","{'9': 0, '11': 6, 'other': 0}",1.0,0.9994377444686201,0.9649698665153488,0.9994595073647745
f30_ra000_m45,12,"['0001m447', '0001m450', '0001m452', '3598m447', '3598m450', '3598m452']","{'9': 6, '11': 0, 'other': 0}",1.0,0.9995961674042304,0.9989028668252389,0.9998535345132906
f31_ra132_p05,15,"['1317p047', '1317p050', '1317p052', '1319p047', '1319p050', '1319p052', '1322p047', '1322p050', '1322p052']","{'9': 9, '11': 0, 'other': 0}",1.0,0.999377387064578,0.9980777921827955,0.999377387064578
