field,raw_real_rho,raw_shift_rho,adjusted_real_rho,adjusted_shift_rho,adjusted_advantage,coverage_count_rho,valid_cell_fraction,n_raw_patches,n_adjusted_patches
f00_ra156_p05,0.3768973699535061,0.11683971533687952,0.375,0.1207142857142857,0.2542857142857143,0.03759390305950343,1.0,49,49
f01_ra132_m05,0.6396591751870998,-0.11852343175876467,0.6413265306122449,-0.11581632653061223,0.7571428571428571,-0.019024892311099457,1.0,49,49
f02_ra144_p15,0.6242506188413629,0.18760682676581045,0.6175510204081632,0.181734693877551,0.4358163265306122,-0.07907829365468234,1.0,49,49
f03_ra036_m35,0.6094897959183673,-0.26387755102040816,0.6094897959183673,-0.26387755102040816,0.8733673469387755,-0.06157200193736342,1.0,49,49
f04_ra180_m05,0.2791836734693877,-0.03561224489795918,0.2794897959183673,-0.03469387755102041,0.3141836734693877,0.017723814284896576,1.0,49,49
f05_ra276_m55,0.0870408163265306,-0.06265306122448978,0.11632653061224489,-0.07806122448979591,0.19438775510204082,0.005521508769875143,1.0,49,49
f06_ra072_m05,0.5416326530612244,-0.08928571428571427,0.5416326530612244,-0.08928571428571427,0.6309183673469387,-0.04439119281739655,1.0,49,49
f07_ra216_m05,0.4238775510204081,0.08622448979591836,0.4238775510204081,0.08622448979591836,0.33765306122448974,-0.002938740200474555,1.0,49,49
f08_ra336_m25,0.5449999999999999,-0.13459183673469385,0.5360204081632652,-0.13938775510204082,0.6754081632653061,0.06436472450971746,1.0,49,49
f09_ra216_p15,0.4837368301785828,-0.02826602720376911,0.48377551020408155,-0.02897959183673469,0.5127551020408162,-0.0779736960782882,1.0,49,49
f10_ra240_m35,0.8380612244897958,-0.1571428571428571,0.7132653061224489,0.06571428571428571,0.6475510204081631,0.19909580202219268,1.0,49,49
f11_ra060_m35,0.5608163265306122,0.06204081632653061,0.5608163265306122,0.06204081632653061,0.4987755102040816,0.07041601079898298,1.0,49,49
f12_ra312_m05,0.671530612244898,0.0360204081632653,0.6799999999999998,0.031428571428571424,0.6485714285714284,0.0029277870835456737,1.0,49,49
f13_ra228_p05,0.591851833147512,-0.11275797855655185,0.5921428571428571,-0.11183673469387753,0.7039795918367346,-0.0018765985088273261,1.0,49,49
f14_ra264_m05,,,,,,,0.0,0,0
f15_ra144_m25,0.16397959183673466,-0.07683673469387756,0.16234693877551018,-0.07785714285714285,0.24020408163265303,0.019016892409738313,1.0,49,49
f16_ra288_m25,,,,,,,0.0,0,0
f17_ra048_m15,0.11887755102040816,0.09683673469387753,0.11887755102040816,0.09683673469387753,0.022040816326530627,-0.024347257433266867,1.0,49,49
f18_ra096_m15,0.29622448979591837,-0.12653061224489795,0.34173469387755095,-0.11826530612244897,0.4599999999999999,-0.005370127035276384,1.0,49,49
f19_ra132_p25,0.4870408163265306,0.11020408163265306,0.4862244897959183,0.10948979591836734,0.376734693877551,0.03683699371922469,1.0,49,49
f20_ra120_p25,0.30741364395339477,0.07056482482780829,0.30520408163265306,0.07010204081632652,0.23510204081632652,0.005740559754460703,1.0,49,49
f21_ra084_p05,,,,,,,0.0,0,0
f22_ra036_p05,0.6816326530612244,-0.19040816326530613,0.6848979591836734,-0.19122448979591836,0.8761224489795917,-0.08258345701449861,1.0,49,49
f23_ra012_m35,0.2764285714285714,0.023877551020408165,0.2764285714285714,0.023877551020408165,0.25255102040816324,-0.0022002721649177,1.0,49,49
f24_ra012_m55,0.3574489795918367,-0.06520408163265307,0.3574489795918367,-0.06520408163265307,0.42265306122448976,-0.014495038823306654,1.0,49,49
f25_ra228_m35,0.3180612244897959,-0.021428571428571425,0.3521428571428571,-0.026836734693877547,0.37897959183673463,-0.003619477659810021,1.0,49,49
