field,fold,sample,rho,matched_shift_rho
f00_ra156_p05,0,raw,0.5191391941391941,-0.07834249084249084
f00_ra156_p05,0,residual,0.4471611721611721,-0.07408424908424907
f07_ra216_m05,0,raw,0.4575549450549451,0.11488095238095238
f07_ra216_m05,0,residual,0.40924908424908424,0.17609890109890108
f13_ra228_p05,0,raw,0.5887820512820512,-0.07939560439560438
f13_ra228_p05,0,residual,0.5262820512820512,-0.13878205128205126
f23_ra012_m35,0,raw,0.46936813186813175,-0.08182234432234432
f23_ra012_m35,0,residual,0.4465201465201465,-0.031089743589743583
f29_ra312_m25,0,raw,0.6927655677655677,-0.029120879120879118
f29_ra312_m25,0,residual,0.5201465201465201,-0.06868131868131867
f35_ra168_m25,0,raw,0.7815476190476189,0.013324175824175822
f35_ra168_m25,0,residual,0.7644230769230769,0.03713369963369963
f01_ra132_m05,1,raw,0.5008699633699634,-0.01767399267399267
f01_ra132_m05,1,residual,0.44592490842490834,0.017948717948717947
f08_ra336_m25,1,raw,0.7898351648351647,-0.21561355311355312
f08_ra336_m25,1,residual,0.7864468864468863,-0.1871336996336996
f15_ra144_m25,1,raw,0.35508241758241754,-0.19560439560439558
f15_ra144_m25,1,residual,0.3058150183150183,-0.2735347985347985
f24_ra012_m55,1,raw,0.6505494505494506,-0.03914835164835165
f24_ra012_m55,1,residual,0.49903846153846154,0.04308608058608058
f30_ra000_m45,1,raw,0.5601648351648351,-0.013324175824175822
f30_ra000_m45,1,residual,0.5691391941391941,0.0830128205128205
f36_ra168_m45,1,raw,0.2633241758241758,-0.13379120879120876
f36_ra168_m45,1,residual,0.2971153846153846,-0.1816391941391941
f02_ra144_p15,2,raw,0.45105311355311356,-0.11804029304029302
f02_ra144_p15,2,residual,0.3079670329670329,-0.11094322344322342
f09_ra216_p15,2,raw,0.5553571428571428,-0.018727106227106226
f09_ra216_p15,2,residual,0.49739010989010984,-0.05329670329670329
f17_ra048_m15,2,raw,0.35288461538461535,-0.16918498168498167
f17_ra048_m15,2,residual,0.36071428571428565,-0.12779304029304028
f25_ra228_m35,2,raw,0.40581501831501826,0.0934981684981685
f25_ra228_m35,2,residual,0.2948260073260073,0.05631868131868131
f31_ra132_p05,2,raw,0.5862637362637362,0.00888278388278388
f31_ra132_p05,2,residual,0.5902930402930402,-0.04871794871794872
f37_ra336_m55,2,raw,0.36767399267399264,0.024221611721611722
f37_ra336_m55,2,residual,0.3118589743589743,0.05123626373626372
f03_ra036_m35,3,raw,0.6012362637362637,0.30146520146520145
f03_ra036_m35,3,residual,0.5819597069597069,0.35805860805860806
f10_ra240_m35,3,raw,0.787087912087912,0.03891941391941392
f10_ra240_m35,3,residual,0.7241300366300365,0.027289377289377286
f19_ra132_p25,3,raw,0.614102564102564,0.05224358974358974
f19_ra132_p25,3,residual,0.5535256410256411,0.05911172161172161
f26_ra312_p05,3,raw,0.5017857142857143,0.12074175824175823
f26_ra312_p05,3,residual,0.43795787545787546,-0.020924908424908423
f32_ra024_m35,3,raw,0.5472527472527472,0.02129120879120879
f32_ra024_m35,3,residual,0.5435897435897435,0.04116300366300366
f39_ra084_m55,3,raw,0.5050824175824175,0.2822344322344322
f39_ra084_m55,3,residual,0.44184981684981683,0.2701007326007326
f04_ra180_m05,4,raw,0.3741758241758241,0.0964285714285714
f04_ra180_m05,4,residual,0.26703296703296703,0.07925824175824174
f11_ra060_m35,4,raw,0.5867673992673992,0.09038461538461538
f11_ra060_m35,4,residual,0.5606227106227105,0.0375
f20_ra120_p25,4,raw,0.14784798534798535,-0.027335164835164835
f20_ra120_p25,4,residual,0.03154761904761905,0.04079670329670329
f27_ra060_m05,4,raw,0.5957417582417582,0.011630036630036629
f27_ra060_m05,4,residual,0.5335164835164835,0.062362637362637356
f33_ra348_p15,4,raw,0.5865384615384615,-0.2980769230769231
f33_ra348_p15,4,residual,0.5920787545787546,-0.3304487179487179
f40_ra192_m35,4,raw,0.5592032967032966,-0.21098901098901096
f40_ra192_m35,4,residual,0.6358974358974359,-0.0950091575091575
f06_ra072_m05,5,raw,0.6495724539396952,0.052679174444550746
f06_ra072_m05,5,residual,0.6087454212454212,0.04679487179487179
f12_ra312_m05,5,raw,0.4521062271062271,0.16414835164835165
f12_ra312_m05,5,residual,0.43461538461538457,0.17087912087912085
f22_ra036_p05,5,raw,0.7728937728937727,-0.14514652014652013
f22_ra036_p05,5,residual,0.7728479853479853,-0.09766483516483515
f28_ra192_p05,5,raw,0.4513278388278387,-0.04345238095238095
f28_ra192_p05,5,residual,0.3999084249084249,-0.05123626373626372
f34_ra000_m15,5,raw,0.6263278388278388,0.009706959706959705
f34_ra000_m15,5,residual,0.6260073260073259,-0.024999999999999998
f41_ra348_m25,5,raw,0.683150183150183,0.048534798534798536
f41_ra348_m25,5,residual,0.6429029304029305,-0.004578754578754578
