n_point_randoms,valid_cell_fraction,median_knn4_radius_deg,p95_knn4_radius_deg,field,source_rows
250,0.99658203125,0.03480878373771533,0.0565677898242164,f00_ra156_p05,20029
266,1.0,0.034606487564916515,0.05290520591736475,f01_ra132_m05,26696
209,0.9833984375,0.039024490376438785,0.06654394999485208,f02_ra144_p15,20307
214,0.996826171875,0.0384065235290426,0.06024961172086074,f03_ra036_m35,32190
261,0.99609375,0.035129229044351756,0.05248295590630402,f04_ra180_m05,25984
223,0.999267578125,0.03730352600431685,0.058811830318541265,f06_ra072_m05,28006
244,0.999267578125,0.03612696981240625,0.058373247357563884,f07_ra216_m05,23317
226,0.998779296875,0.037026956813974776,0.056793115987546425,f08_ra336_m25,27001
228,0.999755859375,0.037337156886900084,0.057769547678454714,f09_ra216_p15,21919
174,0.9892578125,0.04263439778122026,0.06891782004838276,f10_ra240_m35,62105
204,0.997314453125,0.04000031390593437,0.05744802759588635,f11_ra060_m35,38528
223,0.998779296875,0.03756746917512618,0.057375877119392904,f12_ra312_m05,32991
251,0.9951171875,0.03428661854218152,0.06078808332751439,f13_ra228_p05,25628
216,0.998779296875,0.03743564463996358,0.06252740826151701,f15_ra144_m25,26275
223,1.0,0.03691094479823612,0.05827686624355106,f17_ra048_m15,29581
230,0.999267578125,0.03682349218091405,0.0581282124658296,f19_ra132_p25,23692
211,1.0,0.03922114070335758,0.05750166010905605,f20_ra120_p25,21192
230,0.99560546875,0.03660257060428716,0.05722690735760224,f22_ra036_p05,32116
218,0.997802734375,0.037891983341593063,0.059289779906265175,f23_ra012_m35,32316
168,0.990966796875,0.04320393246234805,0.0643398514545682,f24_ra012_m55,27060
191,0.98876953125,0.03988176121355937,0.06371022007289298,f25_ra228_m35,40061
263,0.996337890625,0.03507021704805803,0.05314365619163081,f26_ra312_p05,34841
254,1.0,0.03559478900802332,0.05404768165060705,f27_ra060_m05,21748
246,0.998291015625,0.03604578296493614,0.05815352288887387,f28_ra192_p05,24117
220,0.99365234375,0.037393418685498885,0.05881071450133734,f29_ra312_m25,28161
184,0.994873046875,0.040647032244033814,0.06359704465519431,f30_ra000_m45,27596
252,0.99658203125,0.03506729155577502,0.05541640702364323,f31_ra132_p05,21045
206,0.998291015625,0.03918402386071215,0.057366220939841374,f32_ra024_m35,32224
256,0.98779296875,0.034304126161831705,0.06172424048531332,f33_ra348_p15,21985
244,0.994384765625,0.03558747328238876,0.05617343375274897,f34_ra000_m15,19058
230,0.9951171875,0.03670211416395278,0.06078449287050098,f35_ra168_m25,22504
162,0.987548828125,0.04508972815312093,0.06721870405822929,f36_ra168_m45,27321
137,0.964111328125,0.04832456030410401,0.07654385340816208,f37_ra336_m55,27403
155,0.941650390625,0.043749233859983576,0.08245551676474996,f39_ra084_m55,25236
210,0.99169921875,0.038323812680909126,0.05869120569596766,f40_ra192_m35,31553
218,0.999755859375,0.03897001707870708,0.057024211172740404,f41_ra348_m25,25112
